collected_at,item_id,item_name,server,lowest_price,rmb_value
2026-08-30 19:14,5152053,皇家整容券,蓝蜗牛,291888,6.93
2026-08-30 19:14,5152053,皇家整容券,蘑菇仔,298888,6.77
2026-08-30 19:14,5152053,皇家整容券,绿水灵,312222,6.77
2026-08-30 19:14,5152053,皇家整容券,漂漂猪,264444,6.51
2026-08-30 19:14,5152053,皇家整容券,小白兔,208888,5.17
2026-08-30 19:14,5151036,万能高级染发卡,蓝蜗牛,7000,0.17
2026-08-30 19:14,5151036,万能高级染发卡,蘑菇仔,9888,0.22
2026-08-30 19:14,5151036,万能高级染发卡,绿水灵,12222,0.27
2026-08-30 19:14,5151036,万能高级染发卡,漂漂猪,9988,0.25
2026-08-30 19:14,5151036,万能高级染发卡,小白兔,18888,0.47
2026-08-30 19:14,5150040,皇家理发券,蓝蜗牛,391877,9.31
2026-08-30 19:14,5150040,皇家理发券,蘑菇仔,422222,9.56
2026-08-30 19:14,5150040,皇家理发券,绿水灵,462222,10.03
2026-08-30 19:14,5150040,皇家理发券,漂漂猪,392666,9.66
2026-08-30 19:14,5150040,皇家理发券,小白兔,414800,10.27
2026-08-31 00:32,5152053,皇家整容券,蓝蜗牛,310000,6.84
2026-08-31 00:32,5152053,皇家整容券,蘑菇仔,307777,6.76
2026-08-31 00:32,5152053,皇家整容券,绿水灵,324888,7.02
2026-08-31 00:32,5152053,皇家整容券,漂漂猪,259666,6.36
2026-08-31 00:32,5152053,皇家整容券,小白兔,245999,5.87
2026-08-31 00:32,5151036,万能高级染发卡,蓝蜗牛,6000,0.13
2026-08-31 00:32,5151036,万能高级染发卡,蘑菇仔,8888,0.2
2026-08-31 00:32,5151036,万能高级染发卡,绿水灵,10888,0.24
2026-08-31 00:32,5151036,万能高级染发卡,漂漂猪,7770,0.19
2026-08-31 00:32,5151036,万能高级染发卡,小白兔,14999,0.36
2026-08-31 00:32,5150040,皇家理发券,蓝蜗牛,406666,8.98
2026-08-31 00:32,5150040,皇家理发券,蘑菇仔,419500,9.21
2026-08-31 00:32,5150040,皇家理发券,绿水灵,477000,10.31
2026-08-31 00:32,5150040,皇家理发券,漂漂猪,389899,9.55
2026-08-31 00:32,5150040,皇家理发券,小白兔,408000,9.73
2026-08-31 03:44,5152053,皇家整容券,蓝蜗牛,268877,6.12
2026-08-31 03:44,5152053,皇家整容券,蘑菇仔,326665,7.35
2026-08-31 03:44,5152053,皇家整容券,绿水灵,313000,6.87
2026-08-31 03:44,5152053,皇家整容券,漂漂猪,253999,6.3
2026-08-31 03:44,5152053,皇家整容券,小白兔,229000,5.61
2026-08-31 03:44,5151036,万能高级染发卡,蓝蜗牛,8555,0.19
2026-08-31 03:44,5151036,万能高级染发卡,蘑菇仔,8766,0.2
2026-08-31 03:44,5151036,万能高级染发卡,绿水灵,14400,0.32
2026-08-31 03:44,5151036,万能高级染发卡,漂漂猪,24999,0.62
2026-08-31 03:44,5151036,万能高级染发卡,小白兔,11111,0.27
2026-08-31 03:44,5150040,皇家理发券,蓝蜗牛,394444,8.97
2026-08-31 03:44,5150040,皇家理发券,蘑菇仔,421111,9.47
2026-08-31 03:44,5150040,皇家理发券,绿水灵,470000,10.32
2026-08-31 03:44,5150040,皇家理发券,漂漂猪,390000,9.67
2026-08-31 03:44,5150040,皇家理发券,小白兔,408000,10
2026-08-31 06:26,5152053,皇家整容券,蓝蜗牛,271111,6.3
2026-08-31 06:26,5152053,皇家整容券,蘑菇仔,355000,7.95
2026-08-31 06:26,5152053,皇家整容券,绿水灵,314430,6.9
2026-08-31 06:26,5152053,皇家整容券,漂漂猪,249000,6.2
2026-08-31 06:26,5152053,皇家整容券,小白兔,235555,5.87
2026-08-31 06:26,5151036,万能高级染发卡,蓝蜗牛,9999,0.23
2026-08-31 06:26,5151036,万能高级染发卡,蘑菇仔,9000,0.2
2026-08-31 06:26,5151036,万能高级染发卡,绿水灵,17770,0.39
2026-08-31 06:26,5151036,万能高级染发卡,漂漂猪,22222,0.55
2026-08-31 06:26,5151036,万能高级染发卡,小白兔,25555,0.64
2026-08-31 06:26,5150040,皇家理发券,蓝蜗牛,404998,9.42
2026-08-31 06:26,5150040,皇家理发券,蘑菇仔,414000,9.27
2026-08-31 06:26,5150040,皇家理发券,绿水灵,463000,10.16
2026-08-31 06:26,5150040,皇家理发券,漂漂猪,391000,9.74
2026-08-31 06:26,5150040,皇家理发券,小白兔,418886,10.45
2026-08-31 09:14,5152053,皇家整容券,蓝蜗牛,288588,6.35
2026-08-31 09:14,5152053,皇家整容券,蘑菇仔,269999,5.99
2026-08-31 09:14,5152053,皇家整容券,绿水灵,318500,6.9
2026-08-31 09:14,5152053,皇家整容券,漂漂猪,263222,6.45
2026-08-31 09:14,5152053,皇家整容券,小白兔,258888,6.15
2026-08-31 09:14,5151036,万能高级染发卡,蓝蜗牛,7999,0.18
2026-08-31 09:14,5151036,万能高级染发卡,蘑菇仔,15432,0.34
2026-08-31 09:14,5151036,万能高级染发卡,绿水灵,9880,0.21
2026-08-31 09:14,5151036,万能高级染发卡,漂漂猪,18888,0.46
2026-08-31 09:14,5151036,万能高级染发卡,小白兔,17888,0.42
2026-08-31 09:14,5150040,皇家理发券,蓝蜗牛,393000,8.65
2026-08-31 09:14,5150040,皇家理发券,蘑菇仔,434400,9.63
2026-08-31 09:14,5150040,皇家理发券,绿水灵,482000,10.44
2026-08-31 09:14,5150040,皇家理发券,漂漂猪,394877,9.67
2026-08-31 09:14,5150040,皇家理发券,小白兔,415000,9.86
2026-08-31 16:08,5152053,皇家整容券,蓝蜗牛,262000,5.95
2026-08-31 16:08,5152053,皇家整容券,蘑菇仔,287777,6.32
2026-08-31 16:08,5152053,皇家整容券,绿水灵,319700,6.71
2026-08-31 16:08,5152053,皇家整容券,漂漂猪,230000,5.62
2026-08-31 16:08,5152053,皇家整容券,小白兔,220000,5.06
2026-08-31 16:08,5151036,万能高级染发卡,蓝蜗牛,8883,0.2
2026-08-31 16:08,5151036,万能高级染发卡,蘑菇仔,8888,0.2
2026-08-31 16:08,5151036,万能高级染发卡,绿水灵,4777,0.1
2026-08-31 16:08,5151036,万能高级染发卡,漂漂猪,7766,0.19
2026-08-31 16:08,5151036,万能高级染发卡,小白兔,7000,0.16
2026-08-31 16:08,5150040,皇家理发券,蓝蜗牛,403444,9.16
2026-08-31 16:08,5150040,皇家理发券,蘑菇仔,406000,8.92
2026-08-31 16:08,5150040,皇家理发券,绿水灵,435000,9.14
2026-08-31 16:08,5150040,皇家理发券,漂漂猪,379999,9.29
2026-08-31 16:08,5150040,皇家理发券,小白兔,392666,9.03
